time,temp_c,rh_pct
2026-08-12 19:51:17,35.8,19.2
2026-08-12 19:51:27,35.8,19.2
2026-08-12 19:51:37,35.7,19.0
2026-08-12 19:51:47,35.7,19.0
2026-08-12 19:51:57,35.7,19.0
2026-08-12 19:52:07,35.6,19.4
2026-08-12 19:52:17,35.6,18.8
2026-08-12 19:52:27,35.6,19.5
2026-08-12 19:52:37,35.5,19.8
2026-08-12 19:52:47,35.5,19.7
2026-08-12 19:52:57,35.5,19.6
2026-08-12 19:53:07,35.5,19.2
2026-08-12 19:53:17,35.4,19.5
2026-08-12 19:53:27,35.4,20.0
2026-08-12 19:53:37,35.4,19.6
2026-08-12 19:53:47,35.3,19.8
2026-08-12 19:53:57,35.3,19.8
2026-08-12 19:54:07,35.3,19.7
2026-08-12 19:54:17,35.3,20.1
2026-08-12 19:54:27,35.2,19.9
2026-08-12 19:54:37,35.2,19.8
2026-08-12 19:54:47,35.2,19.8
2026-08-12 19:54:57,35.1,20.2
2026-08-12 19:55:07,35.1,19.7
2026-08-12 19:55:17,35.1,19.4
2026-08-12 19:55:27,35.0,19.5
2026-08-12 19:55:37,35.0,19.6
2026-08-12 19:55:47,35.0,19.8
2026-08-12 19:55:57,34.9,19.6
2026-08-12 19:56:07,34.9,19.8
2026-08-12 19:56:17,34.9,19.7
2026-08-12 19:56:27,34.8,19.9
2026-08-12 19:56:37,34.8,20.0
2026-08-12 19:56:47,34.8,20.6
2026-08-12 19:56:57,34.8,20.7
2026-08-12 19:57:07,34.7,20.5
2026-08-12 19:57:17,34.7,20.6
2026-08-12 19:57:27,34.7,20.1
2026-08-12 19:57:37,34.7,20.4
2026-08-12 19:57:47,34.7,20.9
2026-08-12 19:57:57,34.7,20.7
2026-08-12 19:58:07,34.7,20.1
2026-08-12 19:58:17,34.6,20.6
2026-08-12 19:58:27,34.6,19.9
2026-08-12 19:58:37,34.6,20.3
2026-08-12 19:58:47,34.5,19.5
2026-08-12 19:58:57,34.5,19.7
2026-08-12 19:59:07,34.5,20.4
2026-08-12 19:59:17,34.5,20.7
2026-08-12 19:59:27,34.4,20.4
2026-08-12 19:59:37,34.4,20.2
2026-08-12 19:59:47,34.4,20.5
2026-08-12 19:59:57,34.3,20.5
2026-08-12 20:00:07,34.3,20.3
2026-08-12 20:00:17,34.3,20.1
2026-08-12 20:00:27,34.2,20.0
2026-08-12 20:00:37,34.2,19.7
2026-08-12 20:00:47,34.2,19.9
2026-08-12 20:00:57,34.1,20.9
2026-08-12 20:01:07,34.1,20.5
2026-08-12 20:01:17,34.1,20.2
2026-08-12 20:01:27,34.1,20.8
2026-08-12 20:01:37,34.0,21.0
2026-08-12 20:01:47,34.0,20.3
2026-08-12 20:01:57,34.0,20.4
2026-08-12 20:02:07,34.0,21.4
2026-08-12 20:02:17,33.9,20.8
2026-08-12 20:02:27,33.9,21.1
2026-08-12 20:02:37,33.9,20.5
2026-08-12 20:02:47,33.8,21.2
2026-08-12 20:02:57,33.8,20.8
2026-08-12 20:03:07,33.8,21.2
2026-08-12 20:03:17,33.7,20.8
2026-08-12 20:03:27,33.7,20.7
2026-08-12 20:03:37,33.7,20.9
2026-08-12 20:03:47,33.6,20.6
2026-08-12 20:03:57,33.6,20.6
